"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:[word=""word""] within <doc (year=""2019"") />;Random sample:10000"
"Reference","Left","KWIC","Right"
"2019-01-02","<s> See ''The Psychology of Fascism''. </s><s> 34. </s><s> Despite the belief that we have ''the right to privacy'', privacy (in any sense of the","word",") was ongoingly eroded in 2018 and is now effectively non-existent, particularly thanks to Alphabet (owner of Google)"
"2019-01-03",", matches, begins with, ends with, or whatever you choose, it will pop into that folder. </s><s> Whenever an item has the","word","you choose in the name of it, you''ll see it in your Smart Folder. </s><s> Maybe the names of items don''t always contain the word or"
"2019-01-04","to guide her lover, Leandros, who swam the straits of the Hellespont for their nightly tryst. </s><s> Hero is NOT a masculine","word",", it is not a candidate for gender emasculation."" </s><s> Here Soyinka shows his aesthetic taste and his puristic perspective. </s>"
"2019-01-04","Peterson - Without him, the Redskins would have won less games. </s><s> Offensive POY: Adrian Peterson - Over 1,000 yards, and","word","is the powers that be weren''t interested. </s><s> Defensive POY: Ryan Kerrigan - Still putting up numbers. </s><s> Biggest"
"2019-01-04","expression with commas eliminates confusion. </s><s> Note that you could accomplish the same thing by not using ellipsis. </s><s> The","word","that is implied but omitted in your example. </s><s> Put it back and the ambiguity goes away: </s><s> MLB rumors: Latest on Bryce Harper;"
"2019-01-07","was born in Israel. </s><s> The term is related to the Arabic word sabr, which means patience and perseverance. </s><s> In Hebrew, the","word","SABRA also refers to the prickly fruit of a species of cactus. </s><s> SABRAs compare themselves to the fruit, which ""has a"
"2019-01-08",": you bring in vintage stuff that''s collecting dust at home, and if they like it you get free stuff! </s><s> Matthew Ohashi: ""The","word","barter means trade but its not really a common word, its more of an old time thing and we thought lets bring that back to the"
"2019-01-09","she was having a last meeting with an AGLC inspector on the verge of opening her family''s cannabis store in Okotoks when","word","of the moratorium arrived. </s><s> ""We literally got the email from the AGLC in our final meeting,"" said Gilbert. </s><s> ""A lot of us had"
"2019-01-12","of the pricier too, but it''s hard to ignore the boxy retro-futuristic charm of this little hatch. </s><s> ""Iconic"" is a banned","word","at the Daily Telegraph but we''re happy to break the rule this once. </s><s> The Land Rover Defender is one of the most instantly"
"2019-01-13","efficiency and timeliness of work operations. </s><s> Qualified typist that has functional knowledge and ability to utilize","word","processing, spreadsheet and database software; and Ability to use a variety of office equipment such as copy machines"
